Date;Open;Close/Last;High;Low;Volume
04/23/2024;$131.10;$133.864;$139.4451;$129.889;10.478.460,00 €
04/22/2024;$120.90;$132.401;$134.7902;$120.80;19.410.690,00 €
04/19/2024;$123.70;$117.411;$125.865;$116.6241;14.746.540,00 €
04/18/2024;$119.20;$120.816;$128.788;$116.843;17.696.710,00 €
04/17/2024;$125.80;$118.805;$126.422;$113.199;20.373.970,00 €
04/16/2024;$130.602;$125.403;$132.85;$121.515;17.292.290,00 €
04/15/2024;$147.00;$133.588;$148.997;$132.105;16.125.420,00 €
04/12/2024;$153.50;$147.958;$153.782;$143.30;12.905.640,00 €
04/11/2024;$154.30;$155.181;$157.837;$151.009;14.385.910,00 €
04/10/2024;$138.75;$156.60;$156.60;$137.377;19.391.880,00 €
04/09/2024;$147.81;$144.102;$148.0167;$137.50;16.716.660,00 €
04/08/2024;$160.21;$151.299;$162.378;$149.12;20.573.630,00 €
04/05/2024;$157.00;$143.90;$167.425;$143.20;22.739.950,00 €
04/04/2024;$169.298;$161.542;$173.972;$161.01;20.171.340,00 €
04/03/2024;$158.001;$160.611;$169.949;$156.832;19.772.450,00 €
04/02/2024;$149.20;$157.883;$159.229;$146.2943;18.545.840,00 €
04/01/2024;$164.501;$163.674;$169.019;$158.656;19.929.540,00 €
03/28/2024;$194.30;$170.456;$198.90;$164.5515;45.559.140,00 €
03/27/2024;$195.30;$191.916;$199.999;$184.20;26.226.090,00 €
03/26/2024;$188.243;$187.699;$190.95;$179.20;23.938.900,00 €
03/25/2024;$160.50;$185.60;$187.365;$159.442;38.840.270,00 €
03/22/2024;$152.00;$152.30;$159.449;$149.00;20.836.180,00 €
03/21/2024;$159.412;$159.929;$170.4364;$158.102;31.589.810,00 €
03/20/2024;$142.301;$154.652;$155.00;$136.301;33.314.320,00 €
03/19/2024;$132.607;$141.75;$145.00;$123.012;44.644.130,00 €
03/18/2024;$171.845;$150.276;$173.49;$144.501;45.111.200,00 €
03/15/2024;$160.001;$178.236;$181.50;$157.00;44.749.940,00 €
03/14/2024;$170.801;$167.685;$174.60;$155.077;49.867.590,00 €
03/13/2024;$166.00;$176.615;$177.40;$162.00;37.759.450,00 €
03/12/2024;$154.40;$159.335;$159.497;$143.8002;35.488.650,00 €
03/11/2024;$155.00;$148.423;$165.706;$147.735;41.024.230,00 €
03/08/2024;$132.804;$142.559;$145.173;$128.3664;37.417.740,00 €
03/07/2024;$128.498;$130.002;$132.104;$122.50;21.677.160,00 €
03/06/2024;$114.00;$124.621;$128.555;$113.1101;36.939.990,00 €
03/05/2024;$124.419;$105.101;$133.779;$103.506;57.366.280,00 €
03/04/2024;$120.00;$133.401;$135.991;$119.001;54.249.890,00 €
03/01/2024;$99.60;$107.939;$108.00;$99.20;26.964.360,00 €
02/29/2024;$99.90;$102.284;$104.00;$96.0444;35.206.030,00 €
02/28/2024;$95.20;$96.295;$100.888;$91.55;48.388.190,00 €
02/27/2024;$86.61;$87.18;$89.00;$84.176;22.747.610,00 €
02/26/2024;$68.794;$79.648;$80.995;$68.794;22.695.290,00 €
02/23/2024;$69.901;$68.744;$70.4285;$67.806;7.392.840,00 €
02/22/2024;$68.37;$71.315;$72.325;$67.999;10.425.120,00 €
02/21/2024;$68.43;$67.28;$68.538;$66.4257;7.033.060,00 €
02/20/2024;$71.079;$70.498;$72.198;$67.027;9.680.050,00 €
02/16/2024;$73.50;$69.956;$74.00;$68.938;13.407.110,00 €
02/15/2024;$79.244;$71.80;$80.678;$70.7514;23.827.690,00 €
02/14/2024;$74.60;$76.988;$77.484;$73.4165;20.704.740,00 €
02/13/2024;$67.50;$68.602;$70.122;$65.555;13.914.530,00 €
02/12/2024;$65.199;$71.752;$72.527;$65.017;23.099.730,00 €
02/09/2024;$62.74;$64.632;$64.89;$61.4115;24.684.570,00 €
02/08/2024;$53.00;$58.781;$58.846;$52.505;22.631.100,00 €
02/07/2024;$49.947;$50.801;$50.863;$46.749;10.997.480,00 €
02/06/2024;$49.33;$49.80;$50.9192;$49.312;6.898.740,00 €
02/05/2024;$50.20;$49.06;$50.348;$48.20;8.599.300,00 €
02/02/2024;$49.725;$50.01;$50.90;$49.10;6.098.000,00 €
02/01/2024;$50.18;$50.348;$51.506;$49.596;6.280.830,00 €
01/31/2024;$50.80;$50.121;$52.789;$49.9428;9.379.630,00 €
01/30/2024;$51.698;$51.951;$52.58;$50.764;7.388.130,00 €
01/29/2024;$50.00;$51.381;$52.497;$49.021;13.648.890,00 €
