fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
"Danske Inv Glo Lange Indeksobl, kl DKKdh",DK0060187771,DKK,Obligationer - Globale Indeks EUR Valutasikret,Distributing,0.69,3.0,3,Article 8,-18.02,-17.9,796.0,-0.87,DanskeInvest,Bonds,Global
"Danske Inv Glob Indeks - Akk, kl DKK h",DK0016248222,DKK,Aktier - Øvrige,Accumulating,0.4,,4,Article 8,16.47,66.32,5987.0,0.34,DanskeInvest,Stocks,Other
"Danske Inv Global Indeks, kl DKK d",DK0010263052,DKK,Aktier - Globale Large Cap Blend,Distributing,0.4,4.0,4,Article 8,11.61,45.73,22275.0,0.56,DanskeInvest,Stocks,Global
Danske Inv Globale Obligationsmark KL,DK0016255193,DKK,Obligationer - Globale Fleksibel EUR Valutasikret,Distributing,0.9,3.0,2,Article 8,-6.06,-8.14,474.0,,DanskeInvest,Bonds,Global
"Danske Inv Globale Virk obl, kl DKK d h",DK0016075294,DKK,Obligationer - EUR Virksomheder,Distributing,0.79,3.0,2,Article 8,-7.86,-9.89,518.0,-0.61,DanskeInvest,Bonds,Europe
Danske Inv GloLangeIndeksobl Akk kl DKKh,DK0060140705,DKK,Obligationer - Globale Indeks EUR Valutasikret,Accumulating,0.69,3.0,3,Article 8,-18.19,-9.69,143.0,-0.87,DanskeInvest,Bonds,Global
Danske Inv GloMellemlang IndObl kl DKKdh,DK0060550523,DKK,Obligationer - Globale Indeks EUR Valutasikret,Distributing,0.69,4.0,2,Article 8,-3.49,4.02,4940.0,-0.48,DanskeInvest,Bonds,Global
"Danske Inv Japan, kl DKKd",DK0015971675,DKK,Aktier - Japan Large Cap,Distributing,1.47,4.0,4,Article 8,-5.65,-4.54,666.0,0.58,DanskeInvest,Stocks,Asia
"Danske Inv Kina, kl DKK d",DK0010295336,DKK,Aktier - Kina,Distributing,1.59,3.0,5,Article 8,-36.87,-23.96,210.0,-0.39,DanskeInvest,Stocks,Asia
"Danske Inv Mix Obl Akk, kl DKK h",DK0060010924,DKK,Obligationer - DKK Øvrige,Accumulating,0.72,4.0,2,Article 8,-3.45,-4.17,470.0,,DanskeInvest,Bonds, DKK Øvrige
Danske Inv Mix Obligationer KL,DK0060430627,DKK,Obligationer - DKK Øvrige,Distributing,0.72,3.0,2,Article 8,-5.43,-6.75,4344.0,,DanskeInvest,Bonds, DKK Øvrige
Danske Inv Nordiske Virk.obl Akk KL,DK0060500502,DKK,Obligationer - EUR Virksomheder,Accumulating,0.8,5.0,2,Article 8,2.58,5.3,3085.0,-0.37,DanskeInvest,Bonds,Europe
"Danske Inv Nye Mark Obl LokVal, kl DKKd",DK0060073252,DKK,Obligationer - Nye Markeder Lokalvaluta,Distributing,1.14,2.0,3,Article 8,2.62,-6.45,3728.7,-0.11,DanskeInvest,Bonds,EmergingMarkets
"Danske Inv Nye Mark Obl, kl DKK d h",DK0016209323,DKK,Obligationer - Nye Markeder EUR Fokus,Distributing,1.09,4.0,3,Article 8,-8.79,-14.31,2921.0,-0.41,DanskeInvest,Bonds,EmergingMarkets
"Danske Inv Nye Markeder - Akk, kl DKK",DK0060042026,DKK,Aktier - Globale Nye Markeder,Accumulating,1.61,3.0,4,Article 8,-5.56,17.14,2190.0,-0.19,DanskeInvest,Stocks,EmergingMarkets
"Danske Inv Nye Markeder, kl DKK d",DK0015710602,DKK,Aktier - Globale Nye Markeder,Distributing,1.61,3.0,4,Article 8,-13.69,-9.2,4971.0,-0.19,DanskeInvest,Stocks,EmergingMarkets
Danske Inv NyeMarkedOblLokVal Akk kl DKK,DK0060548899,DKK,Obligationer - Nye Markeder Lokalvaluta,Accumulating,1.14,2.0,3,Article 8,4.7,-1.6,109.0,-0.09,DanskeInvest,Bonds,EmergingMarkets
Danske Inv Select GloSust Future 3 DKK d,DK0060244408,DKK,Aktier - Globale Large Cap Blend,Distributing,1.46,4.0,4,Article 9,-6.86,11.2,835.0,0.48,DanskeInvest,Stocks,Global
Danske Invest Euro HY Obl kl DKK d h,DK0060486843,DKK,Obligationer - EUR Højrente,Distributing,1.03,2.0,3,Article 8,-4.68,-2.86,614.0,-0.46,DanskeInvest,Bonds,Europe
Danske Invest Euro HY-Obl - Akk kl DKK h,DK0060497378,DKK,Obligationer - EUR Højrente,Accumulating,1.03,2.0,3,Article 8,-1.15,6.39,1243.0,-0.38,DanskeInvest,Bonds,Europe
Danske Invest Europa 2 KL,DK0010245901,DKK,Aktier - Europa Large Cap Blend,Distributing,1.42,3.0,4,Article 8,-7.89,21.94,211.0,0.26,DanskeInvest,Stocks,Europe
Danske Invest Mix Akkumulerende,DK0060010841,DKK,Balanceret - EUR Lav Risiko,Accumulating,1.12,4.0,3,Article 8,0.9,10.51,2524.0,,DanskeInvest,Mixed,Europe
Danske Invest Mix Defensiv Akk,DK0060228633,DKK,Balanceret - EUR Lav Risiko,Accumulating,0.98,4.0,2,Article 8,0.51,6.42,1047.0,,DanskeInvest,Mixed,Europe
Danske Invest Mix Offensiv Akk,DK0060228716,DKK,Balanceret - EUR Moderat Risiko Global,Accumulating,1.22,4.0,3,Article 8,3.05,16.68,1632.0,,DanskeInvest,Mixed,Europe
Danske Invest Mix Offensiv Plus Akk,DK0060228989,DKK,Balanceret - EUR Moderat Risiko Global,Accumulating,1.36,5.0,3,Article 8,8.45,33.06,1261.0,,DanskeInvest,Mixed,Europe
Danske Invest Nye Markeder 2,DK0060080380,DKK,Aktier - Globale Nye Markeder Small/Mid Cap,Distributing,1.61,3.0,4,Article 8,2.87,39.92,163.0,0.2,DanskeInvest,Stocks,EmergingMarkets
Danske Invest USA Indeks - Akk kl DKK h,DK0016290349,DKK,Aktier - Øvrige,Accumulating,0.35,,5,Article 8,15.01,56.44,1483.0,0.3,DanskeInvest,Stocks,Other
"Danske Invest USA Indeks, klasse DKK d",DK0010257757,DKK,Aktier - USA Large Cap Blend,Distributing,0.35,2.0,5,Article 8,18.29,45.02,1316.0,0.61,DanskeInvest,Stocks,US
Nykredit Invest Balance Defensiv KL,DK0016188733,DKK,Balanceret - EUR Lav Risiko Global,Accumulating,1.22,4.0,3,Article 8,-0.92,8.51,1600.0,-0.21,NykreditInvest,Mixed,Europe
Nykredit Invest Balance Moderat KL,DK0016188816,DKK,Balanceret - EUR Moderat Risiko Global,Accumulating,1.46,4.0,3,Article 8,3.85,26.48,2161.0,0.03,NykreditInvest,Mixed,Europe
Nykredit Invest Balance Offensiv KL,DK0060441749,DKK,Balanceret - EUR Høj Risiko Global,Accumulating,1.63,4.0,4,Article 8,7.02,39.07,723.0,0.14,NykreditInvest,Mixed,Europe
Nykredit Invest Bæredygtige Aktier,DK0060361046,DKK,Aktier - Globale Large Cap Blend,Distributing,1.37,4.0,4,Article 9,4.45,53.55,5180.0,0.43,NykreditInvest,Stocks,Global
Nykredit Invest Bæredygtige Kreditobl,DK0060356392,DKK,Obligationer - EUR Virksomheder,Distributing,0.95,3.0,2,Article 8,-5.35,-9.4,166.0,-0.57,NykreditInvest,Bonds,Europe
Nykredit Invest Danske Aktier,DK0010297118,DKK,Aktier - Danmark,Distributing,1.24,4.0,4,Article 8,-23.4,12.09,1092.0,0.08,NykreditInvest,Stocks,Denmark
Nykredit Invest Danske Aktier Akk.,DK0060034270,DKK,Aktier - Danmark,Accumulating,1.21,4.0,4,Article 8,3.94,71.23,2085.0,0.09,NykreditInvest,Stocks,Denmark
Nykredit Invest Danske Fokusaktier,DK0060231777,DKK,Aktier - Danmark,Distributing,1.47,4.0,4,Article 8,-22.7,9.78,786.0,0.07,NykreditInvest,Stocks,Denmark
Nykredit Invest Globale Fokusaktier,DK0060360824,DKK,Aktier - Globale Large Cap Blend,Distributing,1.37,5.0,4,Article 8,11.63,36.49,3951.0,0.54,NykreditInvest,Stocks,Global
Nykredit Invest Globale Fokusaktier Akk.,DK0060038347,DKK,Aktier - Globale Large Cap Blend,Accumulating,1.35,5.0,4,Article 8,23.69,81.45,6955.0,0.54,NykreditInvest,Stocks,Global
Nykredit Invest Kreditobligationer,DK0060356202,DKK,Obligationer - EUR Fleksibel,Distributing,0.75,2.0,2,Article 8,,,1270.0,-0.65,NykreditInvest,Bonds,Europe
Nykredit Invest Lange obligationer,DK0060009405,DKK,Obligationer - DKK Øvrige,Distributing,0.39,1.0,3,Article 8,-15.06,-19.71,6370.0,-0.51,NykreditInvest,Bonds, DKK Øvrige
